"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"21",767150416,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150416","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Gold Hill","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",42.432,-123.051,NA,NA,NA,NA,NA,NA,"1925-07-02",2,7,1925,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9804","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.35,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"22",767150413,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150413","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Salem","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.94306,-123.03389,NA,NA,NA,NA,NA,NA,"1921-09-24",24,9,1921,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9801","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.351,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"23",767150402,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150402","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Dixie","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",45.73056,-123.00417,NA,NA,NA,NA,NA,NA,"1931-07-08",8,7,1931,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9792","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.306,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"24",767150388,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150388","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Hillsboro","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",45.52306,-122.98861,NA,NA,NA,NA,NA,NA,"1915-09-30",30,9,1915,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9778","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:25.146,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"25",767150342,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150342","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Peterson Butte , Lebanon","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",44.51028,-122.96778,NA,NA,NA,NA,NA,NA,"1919-04-08",8,4,1919,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9734","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:25.137,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"26",767150323,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150323","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Dixie Mountain (Mt.)","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",45.699,-122.925,NA,NA,NA,NA,NA,NA,"1929-08-12",12,8,1929,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9716","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:25.081,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"27",767150299,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150299","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Sobre Vista","California","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",38.55,-122.901,NA,NA,NA,NA,NA,NA,"1910-10-06",6,10,1910,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9693","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.891,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"28",767150290,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150290","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Phoenix","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",42.275,-122.818,NA,NA,NA,NA,NA,NA,"1930-07-14",14,7,1930,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9684","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.893,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"29",767150289,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150289","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","7 mi W of Butte Falls","Oregon","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",42.5432,-122.7073,NA,NA,NA,NA,NA,NA,"1935-08-15",15,8,1935,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9683","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.885,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"30",767150286,"8c04889e-a0ad-4f39-8623-06aa9cf0131d","767150286","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus occidentalis","","SPECIES","Bombus occidentalis Greene, 1858","Bombus occidentalis","Greene 1858","US","Carrville","California","PRESENT",NA,"1e26a630-7203-11dc-a0d8-b8a03c50a862",41.065,-122.70306,NA,NA,NA,NA,NA,NA,"1913-06-25",25,6,1913,1340429,1340429,"PRESERVED_SPECIMEN","USDA-ARS","BBSL","BOMBUS9679","","",NA,"CC_BY_4_0","","","",NA,2024-01-24 21:56:24.893,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
