x,y,species cloglog values
71.0,71.0,0.5262525
72.0,72.0,1.3701749E-4
73.0,73.0,0.0013664737
74.0,74.0,3.344189E-4
75.0,75.0,0.0017572235
76.0,76.0,1.6462835E-4
77.0,77.0,0.0072057843
78.0,78.0,9.0459123E-4
79.0,79.0,0.0010197327
80.0,80.0,6.391507E-4
81.0,81.0,0.025755517
82.0,82.0,0.0015955956
83.0,83.0,7.0340635E-4
84.0,84.0,2.3669385E-5
85.0,85.0,3.4709074E-4
86.0,86.0,6.881723E-6
87.0,87.0,0.01387734
88.0,88.0,0.0020501802
89.0,89.0,7.3879946E-4
90.0,90.0,0.022774078
91.0,91.0,0.020858547
92.0,92.0,0.30180818
93.0,93.0,5.809588E-4
94.0,94.0,0.60533684
95.0,95.0,1.7584447E-4
96.0,96.0,0.004009448
97.0,97.0,0.001082745
98.0,98.0,0.003662494
99.0,99.0,0.032745928
100.0,100.0,1.729587E-5
101.0,101.0,0.0021016365
102.0,102.0,0.0033165019
103.0,103.0,0.0013663413
104.0,104.0,7.438368E-4
105.0,105.0,0.0018690905
106.0,106.0,2.9808489E-5
107.0,107.0,0.010223579
108.0,108.0,1.233141E-4
109.0,109.0,0.002177964
110.0,110.0,0.009562562
111.0,111.0,0.0023300275
112.0,112.0,0.002298275
113.0,113.0,0.003878887
114.0,114.0,3.5741634E-4
115.0,115.0,0.0047366684
116.0,116.0,0.0059064324
117.0,117.0,1.5122112E-4
118.0,118.0,1.7510378E-4
119.0,119.0,9.322573E-5
120.0,120.0,1.0443569E-5
121.0,121.0,3.313026E-5
122.0,122.0,1.5051758E-4
123.0,123.0,5.9217753E-5
124.0,124.0,0.0011004732
125.0,125.0,0.0033833957
126.0,126.0,0.0025940724
127.0,127.0,0.09113474
128.0,128.0,1.206812E-4
129.0,129.0,0.0700423
130.0,130.0,2.3819975E-5
131.0,131.0,1.4274435E-4
132.0,132.0,0.5616826
133.0,133.0,9.7929E-4
134.0,134.0,0.055076994
135.0,135.0,0.0108857695
136.0,136.0,0.012766883
137.0,137.0,0.62006116
138.0,138.0,4.149813E-4
139.0,139.0,5.78302E-4
140.0,140.0,0.19723521
141.0,141.0,3.839953E-4
142.0,142.0,0.00979275
143.0,143.0,0.16593039
144.0,144.0,0.0018746083
145.0,145.0,0.002309155
146.0,146.0,0.0021606502
147.0,147.0,0.0021713614
148.0,148.0,0.07666488
149.0,149.0,0.029861845
150.0,150.0,0.0023577015
151.0,151.0,0.00304641
152.0,152.0,3.9599038E-4
153.0,153.0,0.0025212723
154.0,154.0,0.013384546
155.0,155.0,0.09729754
156.0,156.0,0.010144817
157.0,157.0,0.6315894
158.0,158.0,1.573528E-4
159.0,159.0,4.7976435E-5
160.0,160.0,0.002302542
161.0,161.0,1.2635569E-5
162.0,162.0,5.293336E-4
163.0,163.0,2.843534E-5
164.0,164.0,0.16407146
165.0,165.0,8.357013E-5
166.0,166.0,0.0021610574
167.0,167.0,0.030326001
168.0,168.0,0.008094205
169.0,169.0,0.016753806
170.0,170.0,0.040811613
171.0,171.0,0.0038229972
172.0,172.0,6.8764406E-4
173.0,173.0,0.0061943326
174.0,174.0,0.0025914412
175.0,175.0,9.324262E-4
176.0,176.0,0.3453655
177.0,177.0,6.344104E-4
178.0,178.0,0.0018243713
179.0,179.0,0.00792341
180.0,180.0,0.0047179135
181.0,181.0,1.6420295E-4
182.0,182.0,0.017358664
183.0,183.0,8.1089087E-4
184.0,184.0,4.3747463E-5
185.0,185.0,1.1735652E-5
186.0,186.0,0.003661753
187.0,187.0,7.7188815E-5
188.0,188.0,0.6682847
189.0,189.0,7.862001E-4
190.0,190.0,8.1903144E-4
191.0,191.0,9.6412393E-4
192.0,192.0,3.9467162E-5
193.0,193.0,1.0058203E-4
194.0,194.0,0.15176703
195.0,195.0,4.8463434E-4
196.0,196.0,1.4556933E-4
197.0,197.0,7.03592E-5
198.0,198.0,1.2402573E-4
199.0,199.0,0.0011144005
200.0,200.0,8.421168E-4
201.0,201.0,0.08778606
202.0,202.0,7.3515135E-4
203.0,203.0,4.762186E-5
204.0,204.0,0.008856454
205.0,205.0,0.0031678716
206.0,206.0,2.2321983E-5
207.0,207.0,0.6634018
208.0,208.0,0.03615396
209.0,209.0,0.018678451
210.0,210.0,0.05563057
211.0,211.0,1.2159737E-5
212.0,212.0,0.54264104
213.0,213.0,0.4286382
214.0,214.0,0.038864315
215.0,215.0,3.1644777E-5
216.0,216.0,6.506228E-4
217.0,217.0,0.003984662
218.0,218.0,6.726744E-5
219.0,219.0,0.38082883
220.0,220.0,0.046017267
