Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.85163E-5,2.50218002,0.150225641,0.676370065,0.013895431,0
3.11716E-5,2.750136836,0.163009038,0.666588097,0.015308526,0
3.45595E-5,3.002542229,0.179040472,0.657395404,0.016486105,0
3.75174E-5,3.251685216,0.192786238,0.649381261,0.018370231,0
3.98761E-5,3.502828919,0.203581941,0.641720684,0.020254357,0
4.25387E-5,3.75058094,0.215595697,0.634649381,0.022138483,0
4.49376E-5,4.004294431,0.22626385,0.627813789,0.024258125,0
4.77454E-5,4.25013427,0.238566939,0.621567472,0.02567122,0
4.99959E-5,4.500113929,0.248286151,0.615556865,0.027790862,0
5.23751E-5,4.75061876,0.258426833,0.609781968,0.028732925,0
5.53395E-5,5.004079207,0.270869993,0.604242781,0.030381536,0
5.78773E-5,5.253362872,0.281356836,0.59905716,0.032030146,0
6.02042E-5,5.501348681,0.290839468,0.594107248,0.033678756,0
6.25177E-5,5.75859863,0.300143608,0.589157336,0.035091851,0
6.45085E-5,6.000127452,0.308051942,0.584678845,0.037682525,0
6.7381E-5,6.250538257,0.319305625,0.580200354,0.039331135,0
6.96334E-5,6.503705801,0.328001696,0.575839717,0.040273198,0
7.17516E-5,6.751416051,0.336078381,0.571714791,0.042863872,0
7.42464E-5,7.006705553,0.34546667,0.567589864,0.043099388,0
7.65605E-5,7.255894464,0.35405603,0.563700648,0.04521903,0
7.88617E-5,7.504104517,0.362485964,0.559929287,0.048280735,0
8.09674E-5,7.751518026,0.37010332,0.556275781,0.050400377,0
8.3113E-5,8.005680221,0.377771042,0.552622275,0.054404145,0
8.48409E-5,8.257493158,0.383878568,0.549086623,0.057230334,0
8.68057E-5,8.506810358,0.390750238,0.545668827,0.059349976,0
8.95357E-5,8.753762087,0.400171346,0.542368886,0.062882713,0
9.22162E-5,9.008584821,0.409279704,0.539068945,0.065944418,0
9.4112E-5,9.250475035,0.415637897,0.536004714,0.070183702,0
9.63631E-5,9.537355373,0.423099269,0.532351208,0.071832313,0
9.81727E-5,9.751805483,0.429027866,0.529876252,0.075836081,0
1.00735E-4,10.000919483,0.437319049,0.526929876,0.07866227,0
1.03338E-4,10.256698714,0.445617868,0.5239835,0.082195007,0
1.05802E-4,10.507766105,0.453361784,0.521154979,0.083608102,0
1.08541E-4,10.753689733,0.461842019,0.518444313,0.086434291,0
1.10787E-4,11.006652283,0.468695923,0.515733648,0.090438059,0
1.13722E-4,11.253957059,0.477523519,0.513022982,0.093264249,0
1.16061E-4,11.506848109,0.484455829,0.510548026,0.096090438,0
1.17052E-4,11.751900102,0.487362738,0.507955215,0.098445596,0
1.19316E-4,12.000435556,0.493944129,0.505598114,0.10268488,0
1.21957E-4,12.253636896,0.501516488,0.503123159,0.105040038,0
1.23831E-4,12.500112046,0.506822417,0.500766058,0.108337259,0
1.25294E-4,12.761678585,0.510923639,0.498291102,0.11163448,0
1.27763E-4,13.002118073,0.517767656,0.496051856,0.113989637,0
1.29488E-4,13.259461662,0.5224938,0.493694755,0.115873764,0
1.31056E-4,13.50690886,0.526748891,0.49145551,0.118935469,0
1.32804E-4,13.757588739,0.531447781,0.489216264,0.121997174,0
1.34328E-4,14.011631989,0.535505304,0.486977018,0.123645784,0
1.35721E-4,14.254777615,0.539185885,0.484855628,0.126707489,0
1.3751E-4,14.500452759,0.543868016,0.482734237,0.129533679,0
1.3903E-4,14.763016265,0.547807389,0.480494991,0.133066415,0
1.40228E-4,15.014941003,0.550888958,0.4783736,0.135657089,0
1.41631E-4,15.26884664,0.55447259,0.47625221,0.138247763,0
1.42696E-4,15.5106268,0.557172997,0.474248674,0.141309468,0
1.44432E-4,15.754478291,0.561539272,0.472245138,0.143900141,0
1.45271E-4,16.015060922,0.563633356,0.470123748,0.147197362,0
1.47208E-4,16.278301936,0.568432056,0.468002357,0.150730099,0
